list_view, average_frame_build_time_millis, 90th_percentile_frame_build_time_millis, 99th_percentile_frame_build_time_millis, worst_frame_build_time_millis, missed_frame_build_budget_count, average_frame_rasterizer_time_millis, 90th_percentile_frame_rasterizer_time_millis, 99th_percentile_frame_rasterizer_time_millis, worst_frame_rasterizer_time_millis, missed_frame_rasterizer_budget_count, frame_count, frame_rasterizer_count, new_gen_gc_count, old_gen_gc_count, frame_build_times, frame_rasterizer_times, frame_begin_times, frame_rasterizer_begin_times, average_vsync_transitions_missed, 90th_percentile_vsync_transitions_missed, 99th_percentile_vsync_transitions_missed, average_vsync_frame_lag, 90th_percentile_vsync_frame_lag, 99th_percentile_vsync_frame_lag, average_layer_cache_count, 90th_percentile_layer_cache_count, 99th_percentile_layer_cache_count, worst_layer_cache_count, average_layer_cache_memory, 90th_percentile_layer_cache_memory, 99th_percentile_layer_cache_memory, worst_layer_cache_memory, average_picture_cache_count, 90th_percentile_picture_cache_count, 99th_percentile_picture_cache_count, worst_picture_cache_count, average_picture_cache_memory, 90th_percentile_picture_cache_memory, 99th_percentile_picture_cache_memory, worst_picture_cache_memory, total_ui_gc_time, 30hz_frame_percentage, 60hz_frame_percentage, 80hz_frame_percentage, 90hz_frame_percentage, 120hz_frame_percentage, illegal_refresh_rate_frame_count
, "6.8392", "14.151", "14.151", "14.151", "0", "0.762", "0.877", "0.877", "0.877", "0", "5", "4", "2", "0", "[10651, 14151, 8457, 799, 138]", "[877, 730, 766, 675]", "[0, 16675, 33388, 150000, 266674]", "[0, 15732, 31203, 140148]", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.5", "1.0", "1.0", "1.0", "0.1648635", "0.329727", "0.329727", "0.329727", "2.964", "0.0", "100.0", "0.0", "0.0", "0.0", "0"
, "6.5836", "13.274", "13.274", "13.274", "0", "0.794", "0.87", "0.87", "0.87", "0", "5", "2", "2", "0", "[10102, 13274, 8490, 950, 102]", "[870, 718]", "[0, 16665, 33326, 150015, 266664]", "[0, 108993]", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.3333333333333333", "1.0", "1.0", "1.0", "0.10990899999999999", "0.329727", "0.329727", "0.329727", "2.893", "0.0", "100.0", "0.0", "0.0", "0.0", "0"
, "5.8322", "9.994", "9.994", "9.994", "0", "0.843", "0.948", "0.948", "0.948", "0", "5", "4", "4", "0", "[9889, 9994, 8217, 937, 124]", "[890, 948, 706, 828]", "[0, 16672, 33337, 150004, 266675]", "[0, 16789, 31769, 140960]", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.6", "1.0", "1.0", "1.0", "0.1978362", "0.329727", "0.329727", "0.329727", "5.359", "0.0", "100.0", "0.0", "0.0", "0.0", "0"
